id,booth,exhibitor,sponsorName,titleCount,titles,score,confidence,ok
"4","1F-D04","Koshizawa Equipment Industry Co., Ltd.","株式会社CRAFTS&amp;MEISTER","2","BLOKES on BLOCKS! / SLAPPY","0.27","none",""
"26","1F-D26","PepperBomb","HYPER REAL","3","SAEKO: Giantess Dating Sim / DIGITAL EXORCIST（デジタルエクソシスト） / Dome-King Cabbage（ドームキング・キャベツ）","0.30","none",""
"35","1F-D35","SECRET MISSION","G-EIGHT Game Show","4","ルビナイト / 生贄のアパート / Ringash / 仿品一號 | イミテーション No.1","0.29","none",""
"46","1F-D46","LeonaSoftware","SUNSOFT","2","Hard Edge - War Zone / ROUTE16R","0.38","none",""
"49","1F-D49","Jonathan Holmes (crait)","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","0.32","none",""
"50","1F-D50","Software Control Corporation","Screen Australia","7","Management In Space / Ascent of the Last Colossus / Jupiter Junkworks / Dungeons and Dining Tables / Slumbering Woods / Nullstar: Solus / Potions, Please!","0.32","none",""
"56","1F-U01","妄想ゲームズ☆","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.67","medium",""
"57","1F-U02","HEY!","株式会社Phoenixx","2","MONOWAVE / GooNECT√2","0.25","none",""
"58","1F-U03","らいるず & ダックルーズ","ザクザクゲーム","1","RDの遠隔推理","0.20","none",""
"59","1F-U04","ClaGla（クラグラ）","Gotcha Gotcha Games","2","RPGツクール新プロジェクト（仮） / ACTION GAME MAKER","0.24","none",""
"60","1F-U05","SUSABI Games & Virtual Party","Indie Games Pass","7","LoopStructor 2: SkySpine / Deck of Harvest / Cat Squeeze / PlatVerse: Abya's Adventure / Shrink Rooms / Ashes of Pantheon / LoopStructor","0.30","none",""
"61","1F-U06","淺草ゲームズ","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.67","medium",""
"62","1F-U07","TANSAN & ハーベストバレー","CANARY ISLANDS GAMES","9","Archangel: Demon Rush / Arico: Tales From the Abyss / Auditum / Master of Cladia / Microbian / OVER SAND / PlayCan / Project Node / Unicorn Wars","0.22","none",""
"63","1F-C01","京都市","","0","","0.00","none",""
"64","1F-C02","京都府","","0","","0.00","none",""
"65","1F-C03","京都国際マンガ・アニメフェア","株式会社ＣＲＩ・ミドルウェア","2","CRI ADX LE / OPTPiX SpriteStudio","0.15","none",""
"66","1F-C04","CAMPFIRE","株式会社CRAFTS&amp;MEISTER","2","BLOKES on BLOCKS! / SLAPPY","0.38","none",""
"67","1F-E01","BitSummit","株式会社CRAFTS&amp;MEISTER","2","BLOKES on BLOCKS! / SLAPPY","0.38","none",""
"68","1F-E02","株式会社フロムイエロートゥオレンジ","イースニッド","1","アイリス・オデッセイ","0.15","none",""
"69","1F-E03","SUPERDELUXE GAMES","Indie-us Games","1","UNDEFEATED: Genesis","0.44","none",""
"70","1F-E04","エディットモード","ラディアスリー","1","Thousands of Heroes","0.38","none",""
"71","1F-E05","玉乃光酒造","","0","","0.00","none",""
"72","1F-E06","BAKERU","Black Tower Studios","1","Dr. Oops!","0.35","none",""
"73","1F-E07","淺草来々軒","","0","","0.00","none",""
"74","1F-E08","スティッチコーヒー","電ファミニコゲーマー","11","UGOMEKU NOTE / Under A Groove / コロコロフレンズ / Re:Connect / クトゥルフ神話カードゲームADV Erase-missing link- / ヴェリタステイルズ：暗黒城の魔女 / 勇者パーティはぜんめつしました。 / Saga &amp; Seeker / 事故物件だよ！うらみちゃん / Pain Pain Go Away! / 多砲塔神教","0.30","none",""
"75","1F-E09","58DINER","INDIENOVA","3","小さな生活：上海編 / メジャーマン / 存在/しないあなた、と私","0.33","none",""
"76","1F-E10","ギルドバハムートIII","Pikii","1","Ira","0.18","none",""
"77","1F-A01","Devolver Digital","Devolver Digital","2","Heave Ho 2 / Dark Scrolls","1.00","high","OK"
"78","1F-A02","インティ・クリエイツ","インティ・クリエイツ","4","<big id=""GVFSP""><ruby>蒼き雷霆<rt>アームドブルー</rt></ruby>ガンヴォルト トライアングル エディション Nintendo Switch 2 Edition</big> / <big id=""ADC"">白き鋼鉄の<ruby>X<rt>イクス</rt></ruby> 1+2 デュアルコレクション</big> / <big id=""BKR"">ぼくらのキングダム 時食む果実といにしえの魔物</big> / <big id=""MJG"">魔女ガミ－The Witch of Luludidea－</big>","1.00","high","OK"
"79","1F-A03","KOCCA","KOCCA（韓国コンテンツ振興院）","10","Archetype Blue(アーキタイプ・ブルー） / BLACKOUT: Zero Point / Lone Chef / MODULE:BERSERK(モジュール・バーサーク) / MONOWAVE / Project Revenant(プロジェクト・レヴェナント) / Staffer Retro: 超能力推理クエスト / THANKS, LIGHT.(サンクス、ライト。) / There is NO PLAN B(ゼア・イズ・ノー・プラン・ビー) / VELASTER(ベラスター)","0.90","high","OK"
"80","1F-A04","株式会社ハピネット","ハピネット","5","モノノケの国 / アーティス インパクト / Apopia: スイート・ナイトメア / Stray / Tokyo Stories","1.00","high","OK"
"81","1F-A05","NZ CODE","NZ CODE","8","Canvas City / How Was Your Day? / Ten Thousand Coins: The Golden Merchant / Teeto / Mech Support / Star Catcher / The Florist / Toroa: Skycall","1.00","high","OK"
"82","1F-A06","ポケットペア","株式会社ポケットペア","6","Palworld / パルワールド / Windrose / ウィンドローズ / Truckful / トラックフル / CASSETTE BOY / カセットボーイ / Normal Fishing / ノーマルフィッシング / Never Grave: The Witch and The Curse","1.00","high","OK"
"83","1F-A07","Screen Australia","Screen Australia","7","Management In Space / Ascent of the Last Colossus / Jupiter Junkworks / Dungeons and Dining Tables / Slumbering Woods / Nullstar: Solus / Potions, Please!","1.00","high","OK"
"84","1F-A08","Kakehashi Games","Kakehashi Games","5","ムーミントロール:冬のぬくもり / Algolemeth / Serial World / シリアルワールド / Deep Dish Dungeon / Vikings on Trampolines","1.00","high","OK"
"85","1F-A09","GAME SOURCE ENTERTAINMENT","Game Source Entertainment","5","ラタタン / スターシップ・トゥルーパーズ：アルティメット・バグ・ウォー / キャッスル・オブ・アルケミスト / 電車アタック / THANKS, LIGHT.","1.00","high","OK"
"86","1F-A10","電ファミニコゲーマー","電ファミニコゲーマー","11","UGOMEKU NOTE / Under A Groove / コロコロフレンズ / Re:Connect / クトゥルフ神話カードゲームADV Erase-missing link- / ヴェリタステイルズ：暗黒城の魔女 / 勇者パーティはぜんめつしました。 / Saga &amp; Seeker / 事故物件だよ！うらみちゃん / Pain Pain Go Away! / 多砲塔神教","1.00","high","OK"
"87","1F-A11","Q-Games","KIC Games","3","蒐命のラスティル - とこしえの迷宮城 - / 超増税都市 / GrimmKitchen","0.63","medium",""
"88","1F-A12","Critical Reflex","Critical Reflex","10","TANUKI: Pon's Summer / No, I'm not a Human / Militsioner / Being and Becoming / Altered Alma / Inkblood / GIMMIKO / Drowned Lake / Burden Street Station / Cucina Stellata ✦ Starred Cuisine","1.00","high","OK"
"89","1F-A13","Ukiyo Studios","Ukiyo Studios","10","We Took That Trip / CRYMELIGHT / HYPERyuki: Snowboard Syndicate / Kidbash: Super Legend / Mina the Hollower / Shovel Knight: Treasure Trove / Rain98 / Sledding Game / Box Knight / VOID DIVER: Escape from the Abyss","1.00","high","OK"
"90","1F-A14","PARCO GAMES","PARCO GAMES","4","南極計画 / Constance / the Berlin Apartment / Finding Polka","1.00","high","OK"
"91","1F-A15","株式会社viviON","Pikii","1","Ira","0.33","none",""
"92","1F-A16","2P Games","KIC Games","3","蒐命のラスティル - とこしえの迷宮城 - / 超増税都市 / GrimmKitchen","0.63","medium",""
"93","1F-A17","G-SMASH株式会社","Graph","5","Aether &amp; Iron / Be My Horde（ビー・マイ・ホード） / Descent Of Lunaris / LOVE ETERNAL（ラブエターナル） / Surfpunk（サーフパンク）","0.50","medium",""
"94","1F-A18","G-SMASH GAMEJAM","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","0.46","none",""
"95","1F-A19","株式会社ドリコム","ドリコム","4","TIMEMOON / Quiet Express: Cabin 909 / Beautiful Life Show / Chill Planet","1.00","high","OK"
"96","1F-A20","tinyBuild","tinyBuild","9","ReStory: Chill Electronics Repairs / SpeedRunners 2: King of Speed / Hull Rupture / The King is Watching / Hozy / Potion Craft: Alchemist Simulator / Graveyard Keeper 2 / Drill Core / Silent Road","1.00","high","OK"
"97","1F-A21","New Blood Interactive","New Blood Interactive","2","Dungeons of DUSK / Tenebris Somnia","1.00","high","OK"
"98","1F-A22","株式会社CRI・ミドルウェア","株式会社ＣＲＩ・ミドルウェア","2","CRI ADX LE / OPTPiX SpriteStudio","0.67","medium","OK"
"99","1F-A23","CiGA（China indie Game Alliance）","China indie Game Alliance","9","ルナリウム星の旅 / 異星開拓日記 / スターサンド・アイランド / Ashes of Pantheon / Muse Dash 2 / Sleepover / 審判官シェパード / 超アロイクラッシュ / No Such Place","0.90","high","OK"
"100","1F-A24","アニプレックス","Aniplex.inc","1","OCTOPinbs","1.00","high","OK"
"101","1F-A25","東映ゲームズ","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","1.00","high","OK"
"102","1F-A26","マーベラス","株式会社ジーン","16","買い物（かいもん）マスターとみえ / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト /  / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト","0.20","none",""
"103","1F-A27","iGi indie Game incubator","iGi indie Game incubator","5","ディストピア VS ディストーション / レプリカクラブ ルートD / ナカノ人格移植研究所 / Voyage Router / Cross the C","1.00","high","OK"
"104","1F-B01","INDIENOVA","INDIENOVA","3","小さな生活：上海編 / メジャーマン / 存在/しないあなた、と私","1.00","high","OK"
"105","1F-B02","株式会社スピード","株式会社スピード","2","モーションマッチャー / 宇宙銀河ウォーズ","1.00","high","OK"
"106","1F-B03","有限会社ウルクスヘブン","イースニッド","1","アイリス・オデッセイ","0.14","none",""
"107","1F-B04","松竹株式会社","","0","","0.00","none",""
"108","1F-B05","株式会社CharacterBank","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","0.31","none",""
"109","1F-B06","Black Lantern Collective","Black Lantern Collective","3","Sucker for Love: Crush Landing / HR: Human Remains / Horripilant","1.00","high","OK"
"110","1F-B07","SKOOTA GAMES","SKOOTA GAMES","2","ももっとクラッシュ / 太ももうさぎの大撃腿","1.00","high","OK"
