id,booth,title,exhibitor,steamName,steamUrl,score,confidence,ok
"4","1F-D04","EnthuBike – Motorcycle Handlebar Controller","Koshizawa Equipment Industry Co., Ltd.","","","0.00","none",""
"5","1F-D05","代償少女 (Compensated Girl)","代償プロジェクト","代償少女","https://store.steampowered.com/app/3839720/","1.00","high","OK"
"6","1F-D06","ウルトラジェットガール (Ultra Jet Girl)","Ashiya","ウルトラジェットガール","https://store.steampowered.com/app/3170270/","1.00","high","OK"
"7","1F-D07","4DEAD","Kishiro","4DEAD","https://store.steampowered.com/app/4172750/","1.00","high","OK"
"8","1F-D08","カルチャーハウス (CultureHouse)","futurala","CultureHouse","https://store.steampowered.com/app/2314460/","1.00","high","OK"
"9","1F-D09","Astromine","Alientrap","Astromine","https://store.steampowered.com/app/1833210/","1.00","high","OK"
"10","1F-D10","奈落のキッチン (Abyss Kitchen)","Pico Games","奈落のキッチン","https://store.steampowered.com/app/3508910/","1.00","high","OK"
"11","1F-D11","Max Gentlemen: Escape From Moriarty Mansion","The Men Who Wear Many Hats","Max Gentlemen: Escape From Moriarty Mansion","https://store.steampowered.com/app/3047590/","1.00","high","OK"
"13","1F-D13","HellPunk: Purgatorium","Urban Oasis Corp.","HellPunk: Purgatorium","https://store.steampowered.com/app/3199080/","1.00","high","OK"
"15","1F-D15","Finding Polka","lidlocks","Finding Polka","https://store.steampowered.com/app/4161140/","1.00","high","OK"
"18","1F-D18","The Void Between (ザ・ヴォイド・ビトウィーン)","Key Compass","The Void Between","https://store.steampowered.com/app/2678440/","1.00","high","OK"
"19","1F-D19","里山のおと-春さんぽ (Satoyama Note: Spring Walk)","Satoyama Note","里山のおと 春さんぽ","https://store.steampowered.com/app/3430090/","1.00","high","OK"
"20","1F-D20","Voyage Router","softoko","Voyage Router","https://store.steampowered.com/app/3632020/","1.00","high","OK"
"21","1F-D21","60病 (The 60-Second Syndrome)","Matrix Corporation","60病　The 60-Second Syndrome","https://store.steampowered.com/app/4608750/","1.00","high","OK"
"23","1F-D23","ピンボールガーデン (PinballGarden)","YawarakaSoft","PinballGarden","https://store.steampowered.com/app/4281640/","1.00","high","OK"
"24","1F-D24","Katubaの密猟者 (Katuba's Poacher)","Joe Yu Studio","KATUBAの密猟者","https://store.steampowered.com/app/2488500/","1.00","high","OK"
